Model,Base,Mean,Std,CI_Lower,CI_Upper,P10,P90
Nike Pegasus 41,2.2785,2.277743307071461,0.8054361904031395,0.6927208670258728,3.868808900030599,1.2374609167210888,3.3106618534896786
Brooks Ghost 17,2.2785,2.290494181606807,0.8031023548440483,0.7061646373105022,3.860380657406199,1.2695459544216883,3.324729481996206
Hoka Clifton 9,1.59495,1.5885062973780293,0.5573179464438236,0.500180499640179,2.6799300610492325,0.8724770030717007,2.305680290767601
Adidas Ultraboost Light,0.8231999999999999,0.8217372544074486,0.2902527890914384,0.24956821069997712,1.3952357533848592,0.4475949504308994,1.196053988401042
ASICS Gel-Kayano 31,2.2785,2.2846281196133518,0.8032250039727242,0.6842072404818659,3.847540904650827,1.2408786971642858,3.3046577268883897
Nike Sabrina 2,1.4406,1.4423635455355315,0.5117113843062707,0.43207945041412515,2.4530471831070066,0.7834222329247985,2.09392335468343
Nike LeBron 21,0.68355,0.686744642058337,0.23863730367813787,0.21721084015401648,1.1534451922721936,0.379127393620179,0.994052910726379
Nike KD 17,0.68355,0.6839035050976722,0.24147133493092368,0.20574130402506569,1.164659500400877,0.3723587193022366,0.9983970670960827
Adidas Harden Vol. 8,1.59495,1.59824944078041,0.563579124871609,0.48424197452909556,2.7106819958918704,0.8767835753096248,2.3231113249196027
Nike Air Force 1 '07,18.375,18.34480463999833,6.470328693278783,5.809124234006483,30.892590525167545,10.016814312085607,26.677378857584465
Adidas Stan Smith Primegreen,1.323,1.3289096023732443,0.46341767737140305,0.41835668795120373,2.2453125122140927,0.7289107767290998,1.9176454060530956
Converse Chuck Taylor All Star,1.323,1.326081942234416,0.4687181278536489,0.39852228071272344,2.2543323287932853,0.724932108084803,1.923249640235021
New Balance 550,0.68355,0.6830309636915849,0.23833583128817087,0.19821866781719302,1.157600803098921,0.37609584600890955,0.9874738971347569
Vans Old Skool,1.323,1.3257503901670724,0.4692872347935569,0.3980624176710379,2.2541904786657656,0.7258091957455696,1.931393841130323
Nike Mercurial Superfly 10 Academy,0.68355,0.684462656046086,0.2393493898230744,0.20757680888309452,1.1528906189272325,0.37325571615486064,0.9940498084763999
Nike Tiempo Legend 10 Elite,5.5125,5.5099732229419285,1.9204444564475422,1.7460742058228877,9.309390587704852,3.0567794849759684,7.970798820154099
Adidas Predator 24 Elite,1.323,1.3219868572909028,0.4661722235979851,0.4063867024653852,2.2591431536406286,0.7212729745274138,1.922421975979115
Puma Future 8 Ultimate,0.68355,0.687131727738871,0.23946051581180977,0.20475491618257224,1.1546321416488192,0.3769152667404575,0.9976756350026494
