Statistic,Bootstrap_Mean,Bootstrap_SE,CI_2.5,CI_50,CI_97.5
Mean CO2e,4.972063,1.007843,3.144931,4.922375,7.030287
Median CO2e,1.763062,0.376484,1.3,1.73,2.28
SD CO2e,6.238623,0.938257,4.306622,6.274934,7.961542
Skewness,1.614921,0.489382,0.821738,1.554693,2.739872
Pearson r Price vs CO2e,-0.127768,0.161106,-0.421207,-0.135453,0.211512
Leather coefficient,11.898742,1.698039,8.559692,11.894924,15.254349
Category mean Basketball,1.149143,0.091104,0.961992,1.152,1.319391
Category mean Casual,11.78116,2.535438,6.834781,11.797,16.821045
Category mean Running,1.940287,0.142802,1.623333,1.9525,2.175
Category mean Soccer,4.98597,1.814256,1.57125,4.90798,8.72835
