Model,Term,Estimate,SE,t,P_Value,CI95_Low,CI95_High,HC3_SE,HC3_t,HC3_P_Value,HC3_CI95_Low,HC3_CI95_High,R2,Adj_R2,F_Statistic,F_PValue
Baseline,Intercept,2.427495,1.61567,1.502469,0.14146351442349747,-0.846164,5.701153,1.650715,1.470572,0.1498606840756267,-0.917171,5.772161,0.751822,0.738407,56.043181,6.3552496598617836e-12
Baseline,Price_USD,-0.006318,0.009103,-0.694104,0.49195205773223494,-0.024762,0.012126,0.010015,-0.630908,0.5319790753204008,-0.02661,0.013973,0.751822,0.738407,56.043181,6.3552496598617836e-12
Baseline,Is_Leather,11.837274,1.130532,10.470531,1.290745288429207e-12,9.546598,14.12795,1.805771,6.555247,1.1171295222212052e-07,8.178435,15.496113,0.751822,0.738407,56.043181,6.3552496598617836e-12
Category_Adjusted,Intercept,-1.691482,2.849642,-0.593577,0.5567237295823715,-7.482652,4.099688,3.874239,-0.436597,0.6651636554299794,-9.564883,6.181919,0.772756,0.739338,23.123788,4.690118293737555e-10
Category_Adjusted,Price_USD,0.018805,0.017594,1.068804,0.2926880164959855,-0.016951,0.05456,0.025721,0.731104,0.46972466063160234,-0.033466,0.071075,0.772756,0.739338,23.123788,4.690118293737555e-10
Category_Adjusted,Is_Leather,10.912078,1.677774,6.503903,1.9231642323092046e-07,7.502431,14.321724,1.701501,6.413208,2.516181107914406e-07,7.454212,14.369943,0.772756,0.739338,23.123788,4.690118293737555e-10
Category_Adjusted,Casual,2.839922,2.290981,1.239609,0.22360812623476178,-1.815912,7.495757,2.352474,1.207207,0.23568414880250455,-1.94088,7.620724,0.772756,0.739338,23.123788,4.690118293737555e-10
Category_Adjusted,Running,0.70738,1.459851,0.484556,0.6310982894381136,-2.259394,3.674153,0.356334,1.985158,0.055241381261741385,-0.016778,1.431538,0.772756,0.739338,23.123788,4.690118293737555e-10
Category_Adjusted,Soccer,-2.135215,2.082067,-1.025526,0.3123561804052455,-6.366485,2.096055,2.788484,-0.765726,0.44912264002212576,-7.802095,3.531666,0.772756,0.739338,23.123788,4.690118293737555e-10
Log_Price,Intercept,3.83222,7.393207,0.518343,0.6073048489002113,-11.147841,18.812281,8.794248,0.435764,0.6655395341475485,-13.986618,21.651058,0.749334,0.735784,55.303385,7.642997346124503e-12
Log_Price,log_Price_USD,-0.482887,1.457305,-0.331356,0.7422451734501188,-3.435667,2.469894,1.739036,-0.277675,0.782807664474348,-4.006509,3.040736,0.749334,0.735784,55.303385,7.642997346124503e-12
Log_Price,Is_Leather,11.841698,1.146938,10.324615,1.906919067096169e-12,9.51778,14.165616,1.807467,6.551542,1.1300248159429316e-07,8.179421,15.503975,0.749334,0.735784,55.303385,7.642997346124503e-12
Max_Outlier_Removed,Intercept,2.039323,1.292236,1.578135,0.12328252710058796,-0.581454,4.6601,1.531278,1.331778,0.1913041273967626,-1.066253,5.144899,0.791348,0.779756,68.267942,5.618838727627917e-13
Max_Outlier_Removed,Price_USD,-0.003952,0.007283,-0.542613,0.5907397588891745,-0.018723,0.010819,0.009294,-0.425191,0.6732281737754693,-0.022802,0.014898,0.791348,0.779756,68.267942,5.618838727627917e-13
Max_Outlier_Removed,Is_Leather,10.793177,0.929325,11.613997,9.85878045867139e-14,8.908418,12.677935,1.580441,6.829216,5.5048861691275874e-08,7.587893,13.99846,0.791348,0.779756,68.267942,5.618838727627917e-13
