Left_Out,Leather_Estimate,Leather_SE,Leather_t,Leather_P_Value,R2
Dr. Martens 1461,10.793177,0.929325,11.613997,9.85878045867139e-14,0.791348
Nike Air Force 1 '07,11.404398,1.140078,10.00317,6.1599614298302185e-12,0.737823
Nike Air Force 1 '07 LV8,11.430528,1.145815,9.975898,6.625811010962934e-12,0.737328
Adidas Stan Smith,11.680372,1.173577,9.9528,7.048361894135269e-12,0.735299
Adidas Copa Pure 2 Elite,11.689459,1.194587,9.785355,1.1056489057637009e-11,0.74012
Reebok Club C 85,11.760911,1.177466,9.988327,6.409317521161029e-12,0.736701
Nike Mercurial Superfly 10 Academy,11.790504,1.1526,10.229487,3.376632307094951e-12,0.749649
Converse Chuck Taylor All Star,11.80304,1.155527,10.214417,3.5138558729386205e-12,0.750027
Nike KD 17,11.808229,1.151799,10.251985,3.1818991885756986e-12,0.749241
Adidas AE 1,11.815396,1.153422,10.243778,3.2516211945221585e-12,0.749648
Puma MB.03,11.818032,1.152967,10.250103,3.197664355525376e-12,0.749554
Adidas Stan Smith Primegreen,11.819094,1.154033,10.241553,3.270717030545711e-12,0.749802
New Balance TWO WXY v4,11.820934,1.153243,10.250164,3.197220266315526e-12,0.749645
Jordan Luka 2,11.821183,1.15362,10.247035,3.2236435743016045e-12,0.749733
Adidas Ultraboost Light,11.821736,1.151585,10.265626,3.0693225738787078e-12,0.749171
Nike LeBron 21,11.821851,1.15109,10.27014,3.0331293032759277e-12,0.748988
Puma King Ultimate,11.824094,1.189161,9.943227,7.23154869319842e-12,0.741205
Under Armour Curry 11,11.826937,1.152432,10.262589,3.0939695250253862e-12,0.749511
Puma Future 8 Ultimate,11.829823,1.150602,10.281425,2.94408941670099e-12,0.748888
Nike Sabrina 2,11.831931,1.153298,10.259216,3.121725100641015e-12,0.749832
New Balance Tekela v4+,11.834113,1.150963,10.281919,2.9403146584172646e-12,0.749171
Adidas X Crazyfast.1,11.83734,1.150504,10.288831,2.887245997840182e-12,0.749085
Nike Zoom GT Cut 3,11.837729,1.151753,10.278007,2.970734769291994e-12,0.749584
Hoka Clifton 9,11.84032,1.152991,10.269224,3.0404567752384537e-12,0.749992
Adidas Harden Vol. 8,11.843756,1.152502,10.276557,2.9822810887480955e-12,0.750008
Nike Phantom GX 2 Elite,11.846547,1.149935,10.301927,2.7895463716731683e-12,0.749336
Saucony Ride 17,11.85402,1.152883,10.282071,2.9392044353926394e-12,0.7505
Adidas Predator 24 Elite,11.854088,1.149863,10.309135,2.736921800305936e-12,0.749883
Mizuno Wave Rider 27,11.855981,1.152814,10.284386,2.921218822393712e-12,0.750578
On Cloudmonster,11.856158,1.151864,10.293022,2.8557156639408277e-12,0.750457
New Balance Fresh Foam X 1080v13,11.86259,1.151695,10.300115,2.8028690479686702e-12,0.750783
Under Armour HOVR Phantom 3,11.865597,1.152013,10.299881,2.8044233602031454e-12,0.750972
Nike Pegasus 41,11.867042,1.152102,10.300341,2.80109269112927e-12,0.751053
Brooks Ghost 17,11.867892,1.151873,10.303129,2.780664587476167e-12,0.751085
ASICS Gel-Kayano 31,11.870352,1.151192,10.311357,2.7211566333562587e-12,0.75119
Puma Suede Classic,11.870866,1.178211,10.075328,5.0817128283142665e-12,0.740039
Mizuno Morelia Neo IV,11.897105,1.19155,9.984563,6.474154545799138e-12,0.743549
New Balance 550,12.488937,1.087602,11.483008,1.3633538742396922e-13,0.788922
Nike Tiempo Legend 10 Elite,12.603897,1.095417,11.506027,1.2878587085651816e-13,0.790131
Vans Old Skool,12.695139,1.004726,12.635429,8.43769498715119e-15,0.819485
